ORD0000001PRODA        12635.61M
ORD0000002PRODB        21033.50L
ORD0000003PRODA       336871.07L
ORD0000004PRODA       150811.29H
ORD0000005PRODA        12380.26H
ORD0000006PRODE        10750.11L
ORD0000007PRODB       312617.94L
ORD0000008PRODE        62122.10M
ORD0000009PRODE         1096.53H
ORD0000010PRODD        57364.65H
ORD0000011PRODB       194961.87H
ORD0000012PRODA        24720.15M
ORD0000013PRODC        96734.88H
ORD0000014PRODD        44995.50M
ORD0000015PRODA       108751.24L
ORD0000016PRODE       215200.54L
ORD0000017PRODB        29621.14H
ORD0000018PRODB       135186.09H
ORD0000019PRODB        58781.16M
ORD0000020PRODC       194137.93M
ORD0000021PRODB        79629.57H
ORD0000022PRODC       322538.40L
ORD0000023PRODA       233704.23H
ORD0000024PRODE       108008.21H
ORD0000025PRODD        68996.85L
ORD0000026PRODE       101399.42M
ORD0000027PRODA         4965.44M
ORD0000028PRODD        10775.60H
ORD0000029PRODE       422504.51M
ORD0000030PRODB       219864.96M
ORD0000031PRODD        23122.86H
ORD0000032PRODB       281075.60L
ORD0000033PRODC       293466.09M
ORD0000034PRODE        87541.56H
ORD0000035PRODB       151949.77H
ORD0000036PRODA        57042.47H
ORD0000037PRODB       362123.58M
ORD0000038PRODE        16642.89M
ORD0000039PRODE       166447.20M
ORD0000040PRODE         6637.05L
ORD0000041PRODA       246337.00M
ORD0000042PRODC        22312.60M
ORD0000043PRODB          992.58L
ORD0000044PRODC       294077.47H
ORD0000045PRODE        65276.64L
ORD0000046PRODC       360958.19L
ORD0000047PRODE        20433.66M
ORD0000048PRODB       173300.90H
ORD0000049PRODE        95680.25H
ORD0000050PRODA       226466.52M
ORD0000051PRODB         9471.60L
ORD0000052PRODA        42210.52M
ORD0000053PRODA       245078.73H
ORD0000054PRODB       210563.86L
ORD0000055PRODB        94063.04L
ORD0000056PRODD       137139.34L
ORD0000057PRODB       149540.28M
ORD0000058PRODC       152640.00M
ORD0000059PRODA        33663.64H
ORD0000060PRODC         8482.21L
TOTAL SALES:           7687898.85
